LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Birmingham,130000,125950,128000,132500,138000,145000,153504,164995,175000,180000,194000,210000
Coventry,122500,122000,122500,126500,135000,145000,155000,167000,179950,181998,187000,205000
Dudley,133000,127000,129995,132000,140000,147500,150000,158000,164000,173000,185000,200000
Sandwell,112000,110000,110000,110000,118500,124950,128000,138000,148973,154950,160000,175000
Solihull,213000,199500,200000,210000,220000,240000,246000,265000,273000,277950,300000,320000
Walsall,124000,124999,123000,125000,135000,135000,140003,149950,156500,157000,164950,185000
Wolverhampton,110000,115000,117000,118250,124995,128000,134500,140000,149995,153250,167000,179000
Peterborough,132995,130000,132000,140000,150000,155000,165000,174250,187000,202000,210000,220000
Luton,150000,150000,150000,155000,168000,193000,221000,240000,245000,245000,260000,275000
Southend-on-Sea,180000,180000,183000,185000,203000,221000,242000,267000,280000,285000,300000,325000
Thurrock,170000,170000,167748,175000,192500,225000,260000,275000,285000,282000,300000,318000
Bedford,183250,178750,184000,187500,205000,229995,245000,270000,282050,280000,288000,305000
Central Bedfordshire,195000,189950,196500,205000,225000,246000,272000,300000,315000,315000,322500,330000
Cambridge,260500,264000,275000,308500,350000,405000,420000,430000,429998,435000,440000,450000
East Cambridgeshire,189725,185000,186000,195000,214950,240000,260000,275000,280000,295000,310000,320000
Fenland,130000,132000,128000,132750,141000,150000,163000,179475,185000,190000,202000,215000
Huntingdonshire,181000,175000,180000,185000,198500,215000,230000,260000,270000,280000,290000,292500
South Cambridgeshire,231000,242000,240000,249950,269000,320000,348000,366998,359950,370000,390000,395000
Basildon,188750,180000,190000,192000,210000,230000,270000,282500,295000,300000,319500,335000
Braintree,184998,185000,186250,190000,210000,230000,255000,265500,280000,290000,299995,310000
Brentwood,268500,259500,271500,275000,308000,340000,400000,415000,425000,415000,467750,475000
Castle Point,195000,190000,190000,200000,220000,247750,270000,293000,300000,300000,315000,335000
Chelmsford,221000,220000,222500,230000,249999,274995,313750,335000,345000,350000,377000,375000
Colchester,175000,177500,184850,188000,195000,217250,238250,265000,275000,270000,282000,305000
Epping Forest,290000,280000,286000,305000,340000,380000,415000,442500,450000,450000,485000,500000
Harlow,169000,173000,174000,180000,200000,227500,262500,281500,278500,287500,296000,308000
Maldon,212750,215750,210000,217000,238000,250000,288000,320000,322500,320000,335000,353250
Rochford,215000,208000,210000,221500,240000,270000,302000,330000,335000,332500,350000,367500
Tendring,155000,151500,152250,155000,163000,175000,194000,224250,230000,240000,248000,260000
Uttlesford,278000,272950,290000,296750,315000,341143,370000,394995,420000,407500,435000,434000
Broxbourne,222000,220000,232000,237000,250000,290000,325000,340000,350000,357000,375000,393000
Dacorum,247500,241750,245000,250000,280000,325000,340000,385000,377500,371000,410000,425000
Hertsmere,285000,280000,292000,310000,366000,395000,445000,448250,450000,440000,485000,530000
North Hertfordshire,225350,222000,230000,227500,249995,287975,324950,335000,335000,350000,388000,385000
Three Rivers,308000,296000,315000,340000,360000,420000,455000,465000,470000,465000,480000,500000
Watford,220000,215000,226128,235000,255000,300500,344500,365000,365000,367250,378500,395000
